# HIP	RA degrees (ICRS)	Dec degrees	V magnitude
17587	56.5097	63.3450	4.78
17593	56.5356	-12.1016	4.43
17595	56.5390	6.8035	5.91
17608	56.5816	23.9484	4.14
17618	56.6143	-29.3382	5.91
17651	56.7120	-23.2497	4.22
17678	56.8098	-74.2390	3.26
17702	56.8712	24.1051	2.85
17717	56.9152	-23.8747	5.24
17738	56.9835	-30.1679	5.52
17771	57.0678	11.1433	5.08
17776	57.0867	23.4212	5.44
17797	57.1495	-37.6202	4.3
17798	57.1488	-20.9030	5.81
17805	57.1623	0.2279	5.91
17846	57.2838	43.9631	5.95
17847	57.2906	24.0534	3.62
17851	57.2967	24.1367	5.05
17854	57.3072	70.8710	5.4
17874	57.3635	-36.2003	4.17
17884	57.3803	65.5260	4.39
17886	57.3862	33.0914	5.14
17891	57.4025	63.2970	5.82
17932	57.5184	44.9679	5.65
17954	57.5789	25.5794	5.24
17959	57.5896	71.3323	4.59
18081	57.9738	34.3591	5.78
18089	58.0010	6.5349	5.66
18141	58.1736	-5.3613	5.48
18170	58.2919	17.3271	5.97
18199	58.3888	-46.8937	5.93
18212	58.4113	48.6505	5.76
18213	58.4123	-34.7323	5.11
18216	58.4279	-24.6122	4.64
18217	58.4304	57.9751	5.8
18246	58.5330	31.8836	2.84
18255	58.5729	-2.9547	4.46
18262	58.5965	-40.3570	5.7
18339	58.8172	-12.0991	5.99
18396	58.9924	47.8714	5.39
18434	59.1195	35.0809	5.49
18453	59.1522	50.6954	5.28
18471	59.2170	22.4780	5.62
18488	59.2845	61.1089	4.99
18505	59.3560	63.0723	4.95
18532	59.4635	40.0102	2.9
18543	59.5074	-13.5085	2.97
18597	59.6865	-61.4002	4.56
18606	59.7183	-5.4699	5.85
18614	59.7413	35.7910	3.98
18647	59.8755	-12.5744	5.61
18673	59.9812	-24.0162	4.62
18723	60.1694	-30.4907	5.93
18724	60.1701	12.4903	3.41
18735	60.2032	18.1940	5.89
18744	60.2242	-62.1593	4.48
18772	60.3256	-61.0788	4.97
18788	60.3835	-1.5497	5.28
18805	60.4422	9.9980	5.67
18859	60.6531	-0.2689	5.38
18907	60.7891	5.9893	3.91
18957	60.9359	5.4356	5.32
18975	60.9859	8.1973	5.45
18993	61.0411	2.8269	5.36
19009	61.0903	24.1060	5.46
19011	61.0946	-12.7923	5.62
19018	61.1132	59.1555	5
19038	61.1738	22.0819	4.36
19076	61.3344	22.0089	5.9
19095	61.4060	-27.6518	5.59
19129	61.5133	68.6800	5.88
19167	61.6460	50.3513	4.25
19171	61.6517	27.5999	5.18
19205	61.7519	29.0013	5.21
19284	61.9976	17.3399	5.89
19335	62.1526	38.0397	5.52
19343	62.1654	47.7125	3.96
19376	62.2565	13.3983	5.94
19388	62.2915	19.6092	5.51
19398	62.3243	-16.3859	5.45
19454	62.5068	86.6261	5.84
19461	62.5114	80.6987	5.1
19483	62.5938	-6.9239	5.44
19511	62.6990	-8.8198	5.7
19513	62.7078	26.4810	5.39
19515	62.7108	-41.9936	4.93
19525	62.7459	33.5868	5.75
19554	62.8345	5.5230	5.71
19571	62.9008	-20.3562	5.8
19587	62.9664	-6.8376	4.04
19719	63.3879	7.7160	5.29
19740	63.4849	9.2638	4.84
19747	63.5005	-42.2944	3.85
19777	63.5987	-10.2563	4.87
19780	63.6062	-62.4739	3.33
19799	63.6510	10.0114	5.22
19805	63.7023	-62.1918	5.45
19811	63.7222	40.4837	4.67
19812	63.7244	48.4093	4.12
19849	63.8180	-7.6529	4.43
19860	63.8836	8.8924	4.27
19893	64.0066	-51.4866	4.26
19921	64.1210	-59.3022	4.44
19949	64.1795	53.6118	5.2
19968	64.2231	61.8500	5.69
19983	64.2837	57.8604	5.72
19990	64.3153	20.5786	4.93
19996	64.3301	-6.4722	5.95
20020	64.4178	-63.2554	5.88
20042	64.4736	-33.7983	3.55
20049	64.4970	-80.2140	5.67
20070	64.5609	50.2955	4.6
20075	64.5670	-20.7153	6
20087	64.5967	21.5793	5.64
20156	64.8052	50.0487	5.46
20161	64.8196	-44.2679	5.33
